euler,centroid_x,centroid_y,hor_symm,ver_symm,aspect_ratio,area_ratio
1.000000,5.715232,4.357616,0.451613,0.297297,0.000000,0.467492
1.000000,5.410000,8.520000,0.000000,0.391304,1.000000,0.478469
0.000000,4.669173,6.669173,0.294118,0.261905,1.000000,0.466667
1.000000,4.204724,8.023622,0.000000,0.578947,1.000000,0.514170
0.000000,4.465608,6.158730,0.888889,0.275362,1.000000,0.585139
0.000000,5.091743,7.293578,0.500000,0.361111,1.000000,0.382456
0.000000,4.575758,5.739394,0.500000,0.479167,1.000000,0.510836
0.000000,4.989247,8.473118,0.000000,0.318182,1.000000,0.444976
1.000000,4.392344,5.277512,0.800000,0.954545,1.000000,0.647059
1.000000,4.897810,9.072993,0.000000,1.000000,1.000000,0.655502
0.000000,4.973684,10.245614,0.000000,0.517241,2.000000,0.666667
1.000000,7.500000,5.110294,0.500000,0.000000,0.000000,0.550607
1.000000,5.267717,7.566929,0.000000,0.391304,1.000000,0.514170
0.000000,4.481013,9.088608,0.000000,0.227273,1.000000,0.415789
-1.000000,4.201835,7.577982,0.000000,0.233333,1.000000,0.441296
1.000000,4.824074,8.287037,0.000000,0.500000,1.000000,0.568421
1.000000,5.222222,7.888889,0.000000,0.472222,1.000000,0.552632
1.000000,4.772152,5.670886,0.326531,0.794118,1.000000,0.489164
0.000000,4.337900,4.684932,0.534483,0.792208,1.000000,0.606648
0.000000,4.217391,4.701087,0.512821,0.675000,0.000000,0.538012
-1.000000,4.448980,7.482993,0.000000,0.541667,1.000000,0.595142
1.000000,4.842105,5.789474,0.294118,0.340426,1.000000,0.411765
1.000000,5.186916,8.121495,0.000000,0.384615,1.000000,0.511962
1.000000,5.754967,5.158940,0.388889,0.444444,0.000000,0.467492
0.000000,4.868217,7.403101,0.000000,0.552632,1.000000,0.522267
-1.000000,4.506383,4.731915,0.829787,0.539474,1.000000,0.650970
-1.000000,4.466258,5.533742,0.636364,0.488889,1.000000,0.504644
1.000000,3.962963,7.118519,0.909091,0.551020,1.000000,0.473684
-2.000000,4.673267,4.648515,0.333333,0.904762,1.000000,0.559557
0.000000,5.094017,8.179487,0.000000,0.714286,1.000000,0.559809
1.000000,4.214286,5.817460,0.473684,0.048780,1.000000,0.390093
-1.000000,5.654545,10.090909,0.000000,0.333333,2.000000,0.361842
0.000000,4.604027,4.671141,0.306122,0.111111,0.000000,0.490132
1.000000,4.609272,5.430464,0.882353,0.206897,1.000000,0.467492
1.000000,5.375000,8.048077,0.000000,0.272727,1.000000,0.456140
1.000000,4.242857,7.650000,0.000000,0.529412,1.000000,0.566802
-1.000000,4.812808,5.901478,0.862069,0.714286,1.000000,0.628483
0.000000,4.575758,4.757576,0.481481,0.508475,1.000000,0.548476
1.000000,4.018987,5.670886,0.578947,0.820513,1.000000,0.489164
0.000000,5.443299,8.309278,0.000000,0.583333,1.000000,0.464115
1.000000,4.114286,6.550000,1.000000,0.815789,1.000000,0.526316
1.000000,5.306122,8.765306,0.000000,0.448276,1.000000,0.468900
0.000000,4.705882,6.843137,0.000000,0.280000,1.000000,0.575188
0.000000,4.483221,8.093960,0.000000,0.673913,1.000000,0.653509
-1.000000,5.496644,5.469799,0.486486,0.451613,0.000000,0.490132
0.000000,4.744048,6.934524,0.000000,0.297872,1.000000,0.589474
1.000000,4.273684,4.831579,0.800000,0.620690,1.000000,0.526316
0.000000,4.090000,4.700000,0.810811,0.447368,1.000000,0.584795
1.000000,4.233333,8.340000,0.000000,0.869565,1.000000,0.607287
0.000000,4.571429,5.547619,0.307692,0.127660,1.000000,0.552632
0.000000,4.495935,8.959350,0.000000,0.567568,1.000000,0.647368
-1.000000,4.242038,7.082803,0.666667,0.657895,1.000000,0.550877
0.000000,4.757991,4.707763,0.362319,0.382353,1.000000,0.606648
-1.000000,4.485207,4.142012,0.418182,0.142857,0.000000,0.494152
1.000000,4.807018,5.543860,0.363636,0.800000,1.000000,0.400000
1.000000,4.206107,5.587786,0.523810,0.410256,1.000000,0.430921
0.000000,4.716578,5.534759,0.548387,0.716981,1.000000,0.518006
1.000000,5.278195,6.518797,0.000000,0.400000,1.000000,0.500000
1.000000,4.518519,11.827160,0.000000,1.000000,3.000000,0.852632
0.000000,5.158333,8.908333,0.000000,0.387097,1.000000,0.574163
1.000000,4.460000,9.210000,0.000000,0.440000,2.000000,0.584795
1.000000,3.956522,8.791304,0.000000,0.243902,1.000000,0.550239
0.000000,5.058394,6.934307,0.666667,0.387097,1.000000,0.515038
-1.000000,4.981651,7.385321,0.000000,0.709677,1.000000,0.764912
0.000000,6.313869,5.467153,0.923077,0.583333,0.000000,0.450658
0.000000,5.081633,10.459184,0.000000,0.950000,2.000000,0.573099
0.000000,4.616352,5.547170,0.806452,0.581395,1.000000,0.440443
1.000000,4.272727,5.363636,0.000000,0.131579,1.000000,0.274238
1.000000,4.090909,7.034965,0.800000,0.387755,1.000000,0.501754
-1.000000,4.857955,4.454545,0.696970,0.510204,1.000000,0.514620
1.000000,4.986111,11.250000,0.000000,0.529412,2.000000,0.541353
-1.000000,4.637097,9.524194,0.000000,0.432432,1.000000,0.593301
1.000000,4.355556,5.922222,1.000000,0.194444,1.000000,0.278638
1.000000,4.880435,9.554348,0.000000,0.550000,2.000000,0.538012
1.000000,4.442623,6.844262,0.200000,0.135135,1.000000,0.458647
1.000000,5.023077,5.307692,1.000000,0.235294,1.000000,0.402477
-1.000000,4.165468,8.381295,0.000000,0.818182,1.000000,0.562753
1.000000,4.703125,6.710938,0.333333,0.677419,1.000000,0.481203
-1.000000,4.653409,5.755682,0.812500,0.486486,1.000000,0.544892
1.000000,4.540984,8.221311,1.000000,0.611111,1.000000,0.493927
0.000000,4.114865,6.560811,0.555556,0.878788,1.000000,0.519298
1.000000,3.993464,7.065359,1.000000,0.481481,1.000000,0.536842
1.000000,3.949580,9.411765,0.000000,0.846154,1.000000,0.569378
1.000000,4.647727,9.590909,0.000000,0.379310,2.000000,0.514620
1.000000,6.267327,5.069307,0.277778,0.350000,0.000000,0.354386
1.000000,3.900826,8.123967,0.000000,0.235294,1.000000,0.489879
1.000000,4.770186,4.447205,0.871795,0.500000,1.000000,0.470760
0.000000,4.359155,7.436620,0.000000,0.842105,1.000000,0.622807
1.000000,4.353535,4.838384,0.810811,0.602941,1.000000,0.548476
1.000000,3.697778,4.946667,0.918367,0.441860,1.000000,0.623269
1.000000,4.850829,4.828729,0.666667,0.740741,1.000000,0.529240
2.000000,4.770492,6.959016,0.000000,0.151515,1.000000,0.428070
1.000000,4.769912,8.070796,0.000000,0.542857,1.000000,0.457490
1.000000,8.205882,5.303922,0.071429,0.000000,0.000000,0.412955
0.000000,4.950000,5.175000,0.448276,0.571429,1.000000,0.554017
0.000000,4.698413,6.865079,0.857143,0.222222,1.000000,0.442105
1.000000,3.650794,5.063492,0.882353,0.577778,1.000000,0.349030
0.000000,4.214592,4.583691,0.579710,0.486486,1.000000,0.645429
1.000000,4.647059,6.552941,0.000000,0.181818,1.000000,0.319549
0.000000,5.323944,5.408451,0.800000,0.363636,1.000000,0.393352
-1.000000,5.033784,8.790541,0.000000,0.764706,1.000000,0.708134
0.000000,4.403727,5.695652,0.352941,0.357143,1.000000,0.498452
0.000000,4.638889,4.782407,0.804348,0.261538,1.000000,0.598338
0.000000,4.578431,6.705882,1.000000,0.428571,1.000000,0.357895
1.000000,4.609375,8.343750,0.000000,0.000000,1.000000,0.259109
1.000000,3.779661,11.491525,0.000000,0.500000,3.000000,0.621053
1.000000,4.521739,10.358696,0.000000,0.346154,2.000000,0.538012
1.000000,4.821839,4.580460,0.684211,0.722222,1.000000,0.508772
1.000000,4.712121,6.098485,0.750000,0.333333,1.000000,0.408669
0.000000,5.119760,5.155689,0.260870,0.277778,1.000000,0.549342
-1.000000,5.022472,6.258427,0.894737,0.698113,1.000000,0.551084
